Symbol;date time;open;high;low;close;close5;close10;close15;AC;AD;AO;ATR;BEP;BUP;DMK;FORCE;FRACTAL;ICHIMOKU;BWMFI;Momentum_GAP;MA;OsMA;MACD_GAP;OBV;SAR;RSI;RVI;STDDEV;Stochastic_GAP;WPR
XAUUSD_5;2022.09.14 07:05;1701.34000;1703.26000;1701.18000;1702.28000;1701.95000;1703.37000;1703.56000;-0.48978;940783.94801;-0.30326;1.01000;-1.23001;0.84999;0.34012;-68.44923;1703.26000;1702.68000;4.58150;-0.15921;2.75593;1702.63987;-0.42860;-0.35380;-303175.00000;1704.19080;49.10172;0.00379;0.61084;76.08694
XAUUSD_5;2022.09.14 07:10;1702.29000;1702.70000;1701.56000;1702.58000;1702.14000;1704.04000;1704.03000;-0.26584;941165.26380;-0.31603;1.03286;-0.87430;0.26570;0.36865;-36.78231;0.00000;1702.33000;2.36025;-0.07161;1.95159;1702.68911;-0.35206;-0.25608;-302692.00000;1703.94194;51.20768;-0.18666;0.74755;15.03131
XAUUSD_5;2022.09.14 07:15;1702.59000;1702.78000;1701.20000;1701.29000;1701.73000;1703.59000;1704.24000;-0.09202;940880.83342;-0.28626;1.06143;-1.07083;0.50917;0.35861;-61.23692;0.00000;1702.27500;4.92212;0.09431;0.00742;1702.72533;-0.25537;-0.26293;-303013.00000;1703.71298;42.97383;-0.16413;0.68728;5.73561
XAUUSD_5;2022.09.14 07:20;1701.30000;1701.40000;1700.40000;1700.53000;1701.52000;1703.16000;1703.57000;-0.11635;940544.13342;-0.41691;1.08214;-1.62214;-0.62214;0.30864;-99.40000;0.00000;1701.87000;2.19780;0.05092;-1.24132;1702.71915;-0.26313;-0.30076;-303468.00000;1703.50235;38.99558;-0.17818;0.74547;-12.74629
XAUUSD_5;2022.09.14 07:25;1700.54000;1701.20000;1700.51000;1701.00000;1701.34000;1703.37000;1703.77000;-0.17948;940721.07545;-0.55497;1.08857;-1.36612;-0.67612;0.26877;-98.44923;0.00000;1701.83000;1.63895;0.01582;6.38305;1702.66268;-0.30202;-0.28105;-303047.00000;1703.19211;42.53829;-0.20883;0.59719;-15.39424
XAUUSD_5;2022.09.14 07:30;1700.99000;1702.10000;1700.81000;1701.42000;1702.28000;1701.95000;1703.37000;-0.24919;940693.94366;-0.70503;1.09429;-1.00096;0.28904;0.36644;-83.46154;1702.10000;1701.83000;2.58000;0.02346;2.84284;1702.59055;-0.28464;-0.22252;-302547.00000;1702.91290;45.57967;-0.19331;0.59055;1.94213
XAUUSD_5;2022.09.14 07:35;1701.42000;1701.48000;1700.64000;1701.24000;1702.58000;1702.14000;1704.04000;-0.34141;940869.65795;-0.91756;1.09429;-1.08939;-0.24939;0.38559;-60.55385;0.00000;1701.83000;2.04878;0.03868;-5.53116;1702.52320;-0.22603;-0.18415;-302957.00000;1702.66161;44.49277;-0.14442;0.56894;10.35442
XAUUSD_5;2022.09.14 07:40;1701.24000;1702.07000;1700.65000;1701.23000;1701.29000;1701.73000;1703.59000;-0.31889;940776.46077;-1.04724;1.15214;-1.00805;0.41195;0.45424;-83.78923;0.00000;1701.83000;2.78978;0.13431;7.17683;1702.46064;-0.18755;-0.15021;-303466.00000;1702.43545;44.42939;-0.09276;0.56598;9.79778
XAUUSD_5;2022.09.14 07:45;1701.23000;1701.73000;1701.13000;1701.31000;1700.53000;1701.52000;1703.16000;-0.12791;940570.86077;-0.96609;1.15071;-0.47833;0.12167;0.53425;-25.30462;0.00000;1701.83000;1.16732;0.08390;7.10031;1702.44213;-0.15332;-0.11526;-302952.00000;1702.23190;45.10319;-0.05877;0.56475;4.40030
XAUUSD_5;2022.09.14 07:50;1701.28000;1701.75000;1700.94000;1701.08000;1701.00000;1701.34000;1703.37000;0.00530;940257.44101;-0.90235;1.10714;-0.59285;0.21715;0.55894;-39.05692;0.00000;1701.59000;1.69102;0.11969;-0.78233;1702.41812;-0.12023;-0.09428;-303431.00000;1702.07000;43.47122;-0.04144;0.57114;0.65147
