Symbol;date time;open;high;low;close;close5;close10;close15;AC;AD;AO;ATR;BEP;BUP;DMK;FORCE;FRACTAL;ICHIMOKU;BWMFI;Momentum_GAP;MA;OsMA;MACD_GAP;OBV;SAR;RSI;RVI;STDDEV;Stochastic_GAP;WPR
GBPUSD_15;2022.01.21 07:45;1.35858;1.35922;1.35858;1.35894;1.35943;1.35958;1.35944;-0.00004;-1212884.25110;-0.00030;0.00046;-0.00055;0.00009;0.32018;-0.01259;0.00000;1.35893;0.12121;0.00368;-40.59832;1.33047;-0.00009;-0.00230;-40098.00000;1.37688;38.33223;-0.04303;0.00129;-22.25150
GBPUSD_15;2022.01.21 08:00;1.35895;1.35895;1.35822;1.35878;1.35925;1.35934;1.35956;-0.00011;-1212260.25110;-0.00041;0.00047;-0.00086;-0.00013;0.27969;-0.06918;0.00000;1.35886;0.06250;0.01323;-3.94578;1.35960;-0.00002;-0.00002;-5957.00000;1.35949;43.15076;-0.13688;0.00026;0.01249
GBPUSD_15;2022.01.21 08:15;1.35875;1.35939;1.35858;1.35923;1.35879;1.35935;1.35925;-0.00006;-1211457.49802;-0.00038;0.00051;-0.00052;0.00029;0.35836;-0.03164;1.35939;1.35886;0.06104;0.00147;3.51950;1.35955;-0.00003;0.00001;-4630.00000;1.35822;48.81869;-0.10651;0.00025;11.06850
GBPUSD_15;2022.01.21 08:30;1.35922;1.35922;1.35756;1.35785;1.35926;1.35895;1.35955;-0.00010;-1212078.17271;-0.00046;0.00061;-0.00136;0.00030;0.28150;-0.12696;0.00000;1.35853;0.17400;0.03012;-7.53351;1.35952;0.00001;-0.00007;-5584.00000;1.35939;36.72597;-0.08297;0.00044;-4.72394
GBPUSD_15;2022.01.21 08:45;1.35784;1.35802;1.35705;1.35760;1.35859;1.35903;1.35954;-0.00023;-1211966.66756;-0.00067;0.00065;-0.00168;-0.00071;0.25180;-0.11136;0.00000;1.35827;0.11659;0.04847;-1.71266;1.35950;-0.00007;-0.00013;-6416.00000;1.35939;35.03295;-0.10480;0.00060;-11.13561
GBPUSD_15;2022.01.21 09:00;1.35760;1.35760;1.35610;1.35626;1.35894;1.35943;1.35958;-0.00042;-1213206.45423;-0.00101;0.00073;-0.00228;-0.00078;0.20508;-0.37460;0.00000;1.35780;0.09518;0.03597;-3.75438;1.35946;-0.00013;-0.00026;-7992.00000;1.35930;27.67009;-0.17859;0.00095;-16.18307
GBPUSD_15;2022.01.21 09:15;1.35622;1.35680;1.35581;1.35612;1.35878;1.35925;1.35934;-0.00059;-1213746.50473;-0.00137;0.00079;-0.00225;-0.00126;0.20669;-0.31457;0.00000;1.35765;0.06851;0.03890;-3.26395;1.35943;-0.00026;-0.00034;-9437.00000;1.35910;27.03088;-0.26028;0.00115;-8.15706
GBPUSD_15;2022.01.21 09:30;1.35614;1.35723;1.35607;1.35685;1.35923;1.35879;1.35935;-0.00069;-1213257.88404;-0.00175;0.00084;-0.00181;-0.00065;0.27306;-0.23762;0.00000;1.35765;0.08186;-0.01322;9.15137;1.35939;-0.00034;-0.00032;-8020.00000;1.35884;35.40956;-0.28326;0.00118;1.69167
GBPUSD_15;2022.01.21 09:45;1.35684;1.35738;1.35650;1.35681;1.35785;1.35926;1.35895;-0.00061;-1213623.95222;-0.00196;0.00088;-0.00123;-0.00035;0.24376;-0.24971;1.35738;1.35760;0.07103;0.02203;7.04470;1.35935;-0.00032;-0.00029;-9259.00000;1.35860;35.17125;-0.26015;0.00111;8.44111
GBPUSD_15;2022.01.21 10:00;1.35681;1.35712;1.35613;1.35639;1.35760;1.35859;1.35903;-0.00044;-1214182.73000;-0.00207;0.00092;-0.00141;-0.00042;0.22482;-0.25894;0.00000;1.35760;0.08411;0.05507;-6.18210;1.35929;-0.00029;-0.00028;-10436.00000;1.35838;32.68392;-0.22286;0.00113;10.16102
GBPUSD_15;2022.01.21 10:15;1.35644;1.35709;1.35630;1.35679;1.35626;1.35894;1.35943;-0.00021;-1213915.04646;-0.00205;0.00095;-0.00113;-0.00034;0.24366;-0.17123;0.00000;1.35760;0.07098;0.02349;2.59050;1.35927;-0.00027;-0.00021;-9323.00000;1.35817;37.23641;-0.20845;0.00102;10.33997
GBPUSD_15;2022.01.21 10:30;1.35680;1.35731;1.35672;1.35695;1.35612;1.35878;1.35925;0.00007;-1214141.77527;-0.00186;0.00096;-0.00064;-0.00005;0.27068;-0.18285;1.35731;1.35752;0.05734;0.05511;5.61397;1.35920;-0.00021;-0.00013;-8294.00000;1.35798;39.01310;-0.20311;0.00088;7.72622
GBPUSD_15;2022.01.21 10:45;1.35697;1.35722;1.35671;1.35685;1.35685;1.35923;1.35879;0.00018;-1214506.61841;-0.00176;0.00095;-0.00058;-0.00007;0.26105;-0.10828;0.00000;1.35691;0.06304;0.03012;-3.84211;1.35907;-0.00012;-0.00006;-9103.00000;1.35781;38.28367;-0.20013;0.00057;8.91019
GBPUSD_15;2022.01.21 11:00;1.35685;1.35711;1.35626;1.35651;1.35681;1.35785;1.35926;0.00015;-1214828.61841;-0.00174;0.00093;-0.00092;-0.00007;0.23846;-0.14617;0.00000;1.35670;0.10870;0.01249;-0.23379;1.35890;-0.00005;-0.00002;-9885.00000;1.35765;35.83071;-0.19762;0.00049;-2.94526
GBPUSD_15;2022.01.21 11:15;1.35650;1.35702;1.35647;1.35688;1.35639;1.35760;1.35859;0.00017;-1214457.98204;-0.00164;0.00093;-0.00067;-0.00012;0.25620;-0.11035;0.00000;1.35659;0.07285;-0.01469;0.82179;1.35870;-0.00002;0.00004;-9130.00000;1.35750;40.31266;-0.17594;0.00043;-5.52011
