Symbol;date time;open;high;low;close;close5;close10;close15;AC;AD;AO;ATR;BEP;BUP;DMK;FORCE;FRACTAL;ICHIMOKU;BWMFI;Momentum_GAP;MA;OsMA;MACD_GAP;OBV;SAR;RSI;RVI;STDDEV;Stochastic_GAP;WPR
EURUSD_5;2022.09.16 06:55;0.99883;0.99937;0.99875;0.99926;0.99831;0.99839;0.99861;0.00011;-1379706.77379;-0.00029;0.00057;-0.00001;0.00061;0.59062;0.02262;0.00000;0.99879;0.18129;0.05212;3.81367;0.99890;0.00011;0.00013;-114347.00000;0.99828;56.21821;0.09189;0.00030;9.92795
EURUSD_5;2022.09.16 07:00;0.99927;0.99983;0.99913;0.99958;0.99883;0.99831;0.99846;0.00021;-1379562.20236;-0.00010;0.00060;0.00025;0.00095;0.69527;0.05216;0.00000;0.99904;0.13834;0.10529;4.40288;0.99889;0.00014;0.00017;-113841.00000;0.99835;60.37399;0.12463;0.00037;17.93516
EURUSD_5;2022.09.16 07:05;0.99957;0.99986;0.99949;0.99957;0.99891;0.99856;0.99840;0.00029;-1379760.85101;0.00007;0.00061;0.00051;0.00088;0.80969;0.04496;0.99986;0.99905;0.10571;0.06113;3.64852;0.99890;0.00017;0.00019;-114191.00000;0.99847;60.18175;0.15267;0.00042;7.56007
EURUSD_5;2022.09.16 07:10;0.99956;0.99976;0.99927;0.99962;0.99866;0.99897;0.99824;0.00035;-1379606.13672;0.00025;0.00059;0.00020;0.00069;0.74587;0.03416;0.00000;0.99905;0.13573;0.06415;2.26862;0.99887;0.00019;0.00020;-113830.00000;0.99861;60.85296;0.15247;0.00048;-0.70777
EURUSD_5;2022.09.16 07:15;0.99961;0.99980;0.99866;0.99866;0.99881;0.99846;0.99790;0.00033;-1379974.13672;0.00040;0.00063;-0.00035;0.00079;0.62500;0.00991;0.00000;0.99905;0.30978;0.02403;-6.87741;0.99885;0.00020;0.00012;-114198.00000;0.99986;45.12471;0.12012;0.00044;-16.47834
EURUSD_5;2022.09.16 07:20;0.99865;0.99899;0.99837;0.99850;0.99926;0.99831;0.99839;0.00016;-1380223.23350;0.00036;0.00064;-0.00057;0.00005;0.55108;-0.00198;0.00000;0.99911;0.14452;-0.03603;-7.35993;0.99885;0.00012;0.00005;-114627.00000;0.99984;43.12414;0.06926;0.00041;-25.06618
EURUSD_5;2022.09.16 07:25;0.99848;0.99879;0.99831;0.99853;0.99958;0.99883;0.99831;-0.00005;-1380250.65016;0.00021;0.00062;-0.00057;-0.00009;0.50430;-0.01114;0.00000;0.99909;0.14590;0.00000;-6.68014;0.99883;0.00005;0.00000;-114298.00000;0.99980;43.62878;0.02178;0.00045;-24.95249
EURUSD_5;2022.09.16 07:30;0.99854;0.99903;0.99839;0.99853;0.99957;0.99891;0.99856;-0.00020;-1380436.27516;0.00005;0.00062;-0.00044;0.00020;0.46273;0.00178;0.99903;0.99909;0.19394;0.00902;0.22930;0.99882;-0.00000;-0.00004;-114298.00000;0.99971;43.62878;-0.01784;0.00048;-5.31429
EURUSD_5;2022.09.16 07:35;0.99852;0.99861;0.99790;0.99817;0.99962;0.99866;0.99897;-0.00032;-1380499.48643;-0.00015;0.00060;-0.00084;-0.00013;0.42571;-0.00284;0.00000;0.99888;0.26894;-0.05906;-7.30179;0.99883;-0.00004;-0.00009;-114562.00000;0.99963;38.83353;-0.04933;0.00056;2.63581
EURUSD_5;2022.09.16 07:40;0.99814;0.99823;0.99696;0.99707;0.99866;0.99881;0.99846;-0.00042;-1380917.00612;-0.00041;0.00065;-0.00154;-0.00027;0.32723;-0.06837;0.00000;0.99841;0.25149;-0.10103;-0.36926;0.99888;-0.00009;-0.00020;-115067.00000;0.99949;28.51904;-0.10040;0.00083;-1.65908
EURUSD_5;2022.09.16 07:45;0.99708;0.99708;0.99452;0.99468;0.99850;0.99926;0.99831;-0.00064;-1381675.63112;-0.00087;0.00078;-0.00343;-0.00087;0.19821;-0.28211;0.00000;0.99719;0.29527;-0.02694;-11.23992;0.99894;-0.00020;-0.00043;-115934.00000;0.99924;17.58822;-0.22217;0.00152;-4.20854
EURUSD_5;2022.09.16 07:50;0.99470;0.99513;0.99451;0.99502;0.99853;0.99958;0.99883;-0.00091;-1381190.46983;-0.00148;0.00080;-0.00302;-0.00240;0.20814;-0.21056;0.00000;0.99716;0.08245;-0.04989;-8.18362;0.99899;-0.00043;-0.00053;-115182.00000;0.99867;22.15901;-0.36826;0.00175;-1.10096
EURUSD_5;2022.09.16 07:55;0.99503;0.99584;0.99503;0.99561;0.99853;0.99957;0.99891;-0.00104;-1380938.12415;-0.00203;0.00082;-0.00223;-0.00142;0.28732;-0.14375;0.00000;0.99716;0.13870;-0.06984;7.85218;0.99901;-0.00053;-0.00053;-114598.00000;0.99809;29.46936;-0.45301;0.00172;4.52207
EURUSD_5;2022.09.16 08:00;0.99563;0.99635;0.99556;0.99632;0.99817;0.99962;0.99866;-0.00096;-1380499.20010;-0.00240;0.00084;-0.00156;-0.00077;0.28227;-0.10742;0.00000;0.99677;0.16632;-0.06086;1.42423;0.99898;-0.00053;-0.00044;-114123.00000;0.99759;37.12213;-0.44719;0.00153;11.64063
EURUSD_5;2022.09.16 08:05;0.99631;0.99678;0.99579;0.99579;0.99707;0.99866;0.99881;-0.00071;-1380858.20010;-0.00259;0.00087;-0.00114;-0.00015;0.27920;-0.10466;0.99678;0.99677;0.27577;-0.11075;0.14758;0.99895;-0.00044;-0.00039;-114482.00000;0.99716;34.14392;-0.38651;0.00147;13.15305
EURUSD_5;2022.09.16 08:10;0.99578;0.99662;0.99578;0.99609;0.99468;0.99850;0.99926;-0.00025;-1380959.55724;-0.00243;0.00088;-0.00103;-0.00019;0.27571;-0.10360;0.00000;0.99677;0.21705;-0.13076;-1.13398;0.99893;-0.00039;-0.00030;-114095.00000;0.99679;37.21445;-0.32490;0.00135;13.69005
EURUSD_5;2022.09.16 08:15;0.99607;0.99613;0.99559;0.99609;0.99502;0.99853;0.99958;0.00018;-1380687.81650;-0.00213;0.00089;-0.00112;-0.00058;0.27690;-0.08662;0.00000;0.99656;0.16928;0.01698;-5.34668;0.99888;-0.00030;-0.00020;-114095.00000;0.99678;37.21445;-0.28092;0.00119;8.02827
EURUSD_5;2022.09.16 08:20;0.99611;0.99656;0.99605;0.99616;0.99561;0.99853;0.99957;0.00040;-1380838.50277;-0.00188;0.00089;-0.00058;-0.00007;0.34370;-0.05096;0.00000;0.99637;0.19245;0.04095;4.77564;0.99878;-0.00020;-0.00010;-113830.00000;0.99662;37.99675;-0.25633;0.00099;3.20799
EURUSD_5;2022.09.16 08:25;0.99617;0.99683;0.99604;0.99682;0.99632;0.99817;0.99962;0.00043;-1380569.49012;-0.00172;0.00087;-0.00062;0.00017;0.38427;-0.03567;0.00000;0.99579;0.28623;0.01300;5.07730;0.99855;-0.00010;0.00004;-113554.00000;0.99451;44.96022;-0.22953;0.00087;5.32534
EURUSD_5;2022.09.16 08:30;0.99683;0.99692;0.99596;0.99620;0.99579;0.99707;0.99866;0.00034;-1380740.99012;-0.00162;0.00089;-0.00063;0.00033;0.39124;-0.06148;0.99692;0.99572;0.27988;0.02797;0.62588;0.99826;0.00004;0.00008;-113897.00000;0.99456;40.37314;-0.18722;0.00081;-0.57275
EURUSD_5;2022.09.16 08:35;0.99619;0.99655;0.99608;0.99639;0.99609;0.99468;0.99850;0.00025;-1380671.73480;-0.00153;0.00089;-0.00048;-0.00001;0.36914;-0.03572;0.00000;0.99598;0.21659;0.10889;0.83846;0.99805;0.00008;0.00012;-113680.00000;0.99465;42.31543;-0.09598;0.00059;0.78620
EURUSD_5;2022.09.16 08:40;0.99641;0.99650;0.99556;0.99572;0.99609;0.99502;0.99853;0.00021;-1380885.43692;-0.00142;0.00091;-0.00088;0.00006;0.36747;-0.06106;0.00000;0.99624;0.29012;0.25077;-5.52062;0.99789;0.00012;0.00009;-114004.00000;0.99474;37.65716;0.01515;0.00038;-17.98760
EURUSD_5;2022.09.16 08:45;0.99573;0.99590;0.99508;0.99556;0.99616;0.99561;0.99853;0.00005;-1380840.53449;-0.00150;0.00092;-0.00124;-0.00042;0.39482;-0.03055;0.00000;0.99600;0.31179;0.48964;0.01144;0.99776;0.00009;0.00006;-114267.00000;0.99483;36.62039;0.07748;0.00035;-14.39029
EURUSD_5;2022.09.16 08:50;0.99558;0.99578;0.99493;0.99558;0.99682;0.99632;0.99817;-0.00010;-1380694.41684;-0.00164;0.00089;-0.00128;-0.00043;0.62725;0.01911;0.00000;0.99592;0.30797;0.46043;1.59251;0.99764;0.00006;0.00004;-113991.00000;0.99491;36.85442;0.04451;0.00037;-7.04394
